Date,Campaign Name,AD Spent,No.of Leads,Cost Per Lead,CTR,Link Click,LP Views,Member Passed,LP Conversion %
01 Mar (Fri),Foreign|Sales|Tamil,484.26,0.0,0.0,0.97%,32.0,18.0,56.25%,0.0%
01 Mar (Fri),3dayslive – Copy 2 - Advantage+ shopping campaign,1899.99,12.0,158.33,1.47%,252.0,209.0,82.94%,5.74%
01 Mar (Fri),3dayslive – Copy,0.0,1.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
02 Mar (Sat),3dayslive – Copy 2 - Advantage+ shopping campaign,1896.02,5.0,379.2,0.99%,176.0,135.0,76.7%,3.7%
02 Mar (Sat),Foreign|Sales|Tamil,384.46,3.0,128.15,0.64%,18.0,8.0,44.44%,37.5%
03 Mar (Sun),Foreign|Sales|Tamil,0.0,3.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
03 Mar (Sun),3dayslive – Copy,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
03 Mar (Sun),3dayslive – Copy 2 - Advantage+ shopping campaign,1520.26,8.0,190.03,1.0%,129.0,99.0,76.74%,8.08%
03 Mar (Sun),Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,391.27,0.0,0.0,3.76%,37.0,30.0,81.08%,0.0%
04 Mar (Mon),Foreign|Sales|Tamil,0.0,1.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
04 Mar (Mon),3dayslive – Copy,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
04 Mar (Mon),3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,1.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
05 Mar (Tue),3dayslive – Copy,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
05 Mar (Tue),3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
06 Mar (Wed),Foreign|Sales|Tamil,0.0,1.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
06 Mar (Wed),3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
07 Mar (Thu),3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
08 Mar (Fri),3dayslive – Copy 2 - Advantage+ shopping campaign,0.0,1.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
16 Mar (Sat),Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,403.43,0.0,0.0,2.54%,29.0,22.0,75.86%,0.0%
17 Mar (Sun),Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,681.39,0.0,0.0,2.41%,53.0,40.0,75.47%,0.0%
17 Mar (Sun),Feedbackrs9,1941.11,21.0,92.43,0.67%,100.0,80.0,80.0%,26.25%
18 Mar (Mon),Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,705.63,0.0,0.0,2.14%,43.0,36.0,83.72%,0.0%
18 Mar (Mon),Feedbackrs9,2001.02,10.0,200.1,0.54%,97.0,63.0,64.95%,15.87%
19 Mar (Tue),Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,300.96,0.0,0.0,1.5%,14.0,12.0,85.71%,0.0%
19 Mar (Tue),Feedbackrs9,2009.33,18.0,111.63,0.64%,135.0,87.0,64.44%,20.69%
19 Mar (Tue),ForeignSales-AsiaAntartrica,662.74,2.0,331.37,0.74%,79.0,50.0,63.29%,4.0%
20 Mar (Wed),Feedbackrs9,1997.54,11.0,181.59,0.43%,92.0,75.0,81.52%,14.67%
20 Mar (Wed),ForeignSales-AsiaAntartrica,973.36,4.0,243.34,0.8%,135.0,102.0,75.56%,3.92%
21 Mar (Thu),Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
21 Mar (Thu),Feedbackrs9,1982.31,20.0,99.12,0.5%,111.0,90.0,81.08%,22.22%
21 Mar (Thu),ForeignSales-AsiaAntartrica,954.4,3.0,318.13,0.93%,140.0,74.0,52.86%,4.05%
22 Mar (Fri),Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
22 Mar (Fri),Feedbackrs9,1983.0,11.0,180.27,0.41%,101.0,71.0,70.3%,15.49%
22 Mar (Fri),ForeignSales-AsiaAntartrica,991.47,0.0,0.0,0.86%,134.0,76.0,56.72%,0.0%
23 Mar (Sat),Feedbackrs9,1941.17,15.0,129.41,0.4%,102.0,72.0,70.59%,20.83%
23 Mar (Sat),ForeignSales-AsiaAntartrica,964.12,4.0,241.03,0.73%,139.0,98.0,70.5%,4.08%
24 Mar (Sun),Feedbackrs9,1573.42,5.0,314.68,0.47%,98.0,65.0,66.33%,7.69%
24 Mar (Sun),ForeignSales-AsiaAntartrica,815.22,6.0,135.87,1.08%,181.0,97.0,53.59%,6.19%
25 Mar (Mon),ForeignSales-AsiaAntartrica,0.0,4.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
26 Mar (Tue),Feedbackrs9,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
26 Mar (Tue),ForeignSales-AsiaAntartrica,0.0,3.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
27 Mar (Wed),ForeignSales-AsiaAntartrica,0.0,1.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
28 Mar (Thu),Feedbackrs9,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
29 Mar (Fri),ForeignSales-AsiaAntartrica,0.0,1.0,0.0,0.0%,0.0,0.0,0.0%,0.0%
31 Mar (Sun),Feedbackrs9,497.7,1.0,497.7,0.38%,22.0,14.0,63.64%,7.14%
31 Mar (Sun),ForeignSales-AsiaAntartrica,1033.89,9.0,114.88,0.88%,194.0,91.0,46.91%,9.89%
